1294084990t4l7|REF|[24.20.92.48][Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13]
1294084990t4l7|0|index
1294088659fa13|REF|http://yoga.whhub.com/article[24.20.92.48][Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13]
1294088659fa13|0|index
1294088659fa13|4|store
1294088659fa13|7|article
1294097797v325|REF|http://yoga.whhub.com/office/LOGOUT[24.20.92.48][Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13]
1294097797v325|0|index
1294098804o233|REF|http://yoga.whhub.com/office/LOGOUT[24.20.92.48][Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13]
1294098804o233|0|index
1294105705rmh2|REF|http://yoga.whhub.com/index[24.20.92.48][Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13]
1294105705rmh2|0|signup
1294182945gma0|REF|[70.59.150.235][Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 1.1.4322; .NET CLR 2.0.50727; InfoPath.1; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729)]
1294182945gma0|0|index
1294182945gma0|15|store
1294182945gma0|20|article
1294183174ss83|REF|[71.193.165.70][Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_5; en-us) AppleWebKit/533.19.4 (KHTML, like Gecko) Version/5.0.3 Safari/533.19.4]
1294183174ss83|0|index
1294183174ss83|27|store
1294183174ss83|35|article
1294184712red6|REF|[71.193.165.70][Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_5; en-US) AppleWebKit/534.10 (KHTML, like Gecko) Chrome/8.0.552.231 Safari/534.10]
1294184712red6|0|index
1294185158gma0|REF|http://yoga.whhub.com/index[70.59.150.235][Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 1.1.4322; .NET CLR 2.0.50727; InfoPath.1; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729)]
1294185158gma0|0|signup
1294185158gma0|8|index
1294184712red6|1299|signup
1294184712red6|1310|store
1294184712red6|1314|article
1294193011jas3|REF|http://yoga.whhub.com/signup;step=complete_success[24.20.92.48][Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13]
1294193011jas3|0|index
1294193011jas3|13|signup
1294196418jas3|REF|http://yoga.whhub.com/signup;step=create_account[24.20.92.48][Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13]
1294196418jas3|0|signup
1294196418jas3|358|\"http
1294196418jas3|358|index
1294247385nfn7|REF|[70.59.150.235][Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 1.1.4322; .NET CLR 2.0.50727; InfoPath.1; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729)]
1294247385nfn7|0|signup
12942702866ai7|REF|[76.105.156.229][Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 1.1.4322; .NET CLR 2.0.50727; InfoPath.1; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729)]
12942702866ai7|0|signup
1294270374viq5|REF|[76.105.156.229][Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_8; en-US) AppleWebKit/534.10 (KHTML, like Gecko) Chrome/8.0.552.231 Safari/534.10]
1294270374viq5|0|index
1294270374viq5|71|signup
1294270737hsa6|REF|[76.105.156.229][Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 1.1.4322; .NET CLR 2.0.50727; InfoPath.1; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729)]
1294270737hsa6|0|signup
12942708253lf6|REF|[76.105.156.229][Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US) AppleWebKit/534.10 (KHTML, like Gecko) Chrome/8.0.552.224 Safari/534.10]
12942708253lf6|0|sighup
12942708253lf6|0|index
12942708253lf6|21|signup
1294270953ar85|REF|[76.105.156.229][Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US) AppleWebKit/533.17.8 (KHTML, like Gecko) Version/4.0.5 Safari/531.22.7]
1294270953ar85|0|signup
1294270374viq5|2429|store
1294270374viq5|2452|article
12942708253lf6|2378|store
12942748826751|REF|[71.193.165.70][Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_5; en-us) AppleWebKit/533.19.4 (KHTML, like Gecko) Version/5.0.3 Safari/533.19.4]
12942748826751|0|index
1294343433nn52|REF|http://yoga.whhub.com/signup_instructor;step=complete_success[24.20.92.48][Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13]
1294343433nn52|0|index
1294343433nn52|8|signup
